ARG_Name,MGE_Name,MGE_Group_Name,Patient_ID,Label
CORA,gene:plasmid:24561,plasmid,6,PreFMT & PostFMT Only
CORB,gene:proph:163976,likely IS/TE,6,PreFMT & PostFMT Only
CORB,gene:proph:170540,prophage,6,PreFMT & PostFMT Only
SUGE,gene:plasmid:109300,plasmid,6,PreFMT & PostFMT Only
ZNTR,gene:plasmid:151260,plasmid,6,PreFMT & PostFMT Only
CORA,gene:plasmid:123244,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123245,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123246,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123247,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123248,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123249,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123250,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123251,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123252,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123253,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:123254,plasmid,7,PreFMT & PostFMT Only
CORA,gene:plasmid:24561,plasmid,7,PreFMT & PostFMT Only
CORB,gene:proph:163976,likely IS/TE,7,PreFMT & PostFMT Only
CRP,gene:plasmid:21818,plasmid,7,PreFMT & PostFMT Only
FECD,gene:plasmid:156052,plasmid,7,PreFMT & PostFMT Only
MPHA,gene:plasmid:158836,plasmid,7,PreFMT & PostFMT Only
SUGE,gene:plasmid:109300,plasmid,7,PreFMT & PostFMT Only
ZINT,gene:plasmid:156169,plasmid,7,PreFMT & PostFMT Only
ASR,gene:proph:163921,prophage,8,PreFMT & PostFMT Only
ASR,gene:proph:163927,prophage,8,PreFMT & PostFMT Only
ASR,gene:proph:163942,prophage,8,PreFMT & PostFMT Only
COPA,gene:plasmid:88437,plasmid,8,PreFMT & PostFMT Only
YDEI,gene:proph:163928,prophage,8,PreFMT & PostFMT Only
YDEI,gene:proph:163940,prophage,8,PreFMT & PostFMT Only
ZNTR,gene:plasmid:151260,plasmid,8,PreFMT & PostFMT Only
SUGE,gene:plasmid:109300,plasmid,12,PreFMT & PostFMT Only
VANRA,gene:plasmid:146017,plasmid,15,PreFMT & PostFMT Only
VANRA,gene:plasmid:28749,plasmid,15,PreFMT & PostFMT Only
CORA,gene:proph:159396,prophage,16,PreFMT & PostFMT Only
ACRD,gene:proph:183597,prophage,17,PreFMT & PostFMT Only
AMPH,gene:plasmid:88436,plasmid,17,PreFMT & PostFMT Only
CORA,gene:plasmid:24561,plasmid,17,PreFMT & PostFMT Only
CORA,gene:proph:159396,prophage,17,PreFMT & PostFMT Only
FECD,gene:plasmid:156052,plasmid,17,PreFMT & PostFMT Only
AMPH,gene:plasmid:88437,plasmid,18,PreFMT & PostFMT Only
CORA,gene:plasmid:24561,plasmid,18,PreFMT & PostFMT Only
CRP,gene:plasmid:21818,plasmid,18,PreFMT & PostFMT Only
ZNTR,gene:plasmid:151260,plasmid,18,PreFMT & PostFMT Only
CORA,gene:plasmid:24561,plasmid,19,PreFMT & PostFMT Only
FECD,gene:plasmid:156052,plasmid,19,PreFMT & PostFMT Only
LSA,ICEberg|101|Tn5385|GenBank|...,ICE,19,PreFMT & PostFMT Only
VANRA,gene:plasmid:28749,plasmid,19,PreFMT & PostFMT Only
ZNTR,gene:plasmid:151260,plasmid,19,PreFMT & PostFMT Only
ACRD,gene:proph:183597,prophage,20,PreFMT & PostFMT Only
ARSB,gene:plasmid:91925,plasmid,20,PreFMT & PostFMT Only
CORB,gene:proph:163976,likely IS/TE,20,PreFMT & PostFMT Only
CRP,gene:plasmid:120162,plasmid,20,PreFMT & PostFMT Only
CRP,gene:plasmid:21818,plasmid,20,PreFMT & PostFMT Only
FECD,gene:plasmid:156052,plasmid,20,PreFMT & PostFMT Only
